Muon2_phi_orig Muon2_phi_orig/F
Muon2_px Muon2_px/D
Muon2_py Muon2_py/D
Muon2_pz Muon2_pz/D
Muon2_reco_eff_sf Muon2_reco_eff_sf/F
Muon2_reco_eff_sf_down Muon2_reco_eff_sf_down/F
Muon2_reco_eff_sf_up Muon2_reco_eff_sf_up/F
Muon2_scatteringCurvatureSignificance Muon2_scatteringCurvatureSignificance/F
Muon2_scatteringNeighbourSignificance Muon2_scatteringNeighbourSignificance/F
Muon2_trigger_sf Muon2_trigger_sf/F
Muon2_trkComb_pT Muon2_trkComb_pT/D
Muon2_trkComb_qoverp Muon2_trkComb_qoverp/D
Muon2_trkMS_pT Muon2_trkMS_pT/D
Muon2_trkMS_qoverp Muon2_trkMS_qoverp/D
Muon2_trkMuonExtr_pT Muon2_trkMuonExtr_pT/D
Muon2_trkMuonExtr_qoverp Muon2_trkMuonExtr_qoverp/D
Npv Npv/I
PRIVX_mu PRIVX_mu/F
PVWeights PVWeights/D
PVWeights_down PVWeights_down/D
PVWeights_up PVWeights_up/D
PlngMax2D PlngMax2D/D
PlngMax3D PlngMax3D/D
PlngMin2D PlngMin2D/D
PlngMin3D PlngMin3D/D
Trigger_Matched Trigger_Matched/O
a_2D a_2D/D
a_3D a_3D/D
chi2_PVSV_log1Dz chi2_PVSV_log1Dz/D
chi2_PVSV_log2D chi2_PVSV_log2D/D
chi2_PVSV_log3D chi2_PVSV_log3D/D
closeTrkDCA closeTrkDCA/F
closeTrkDCAErr closeTrkDCAErr/F
closeTrkDCAErr_T0008388608_LooSiHi1Pt05_f2dc2 closeTrkDCAErr_T0008388608_LooSiHi1Pt05_f2dc2/F
closeTrkDCAErr_T0134217728_LooSiHi1Pt05_f2dc2 closeTrkDCAErr_T0134217728_LooSiHi1Pt05_f2dc2/F
closeTrkDCAErr_alltrks closeTrkDCAErr_alltrks
closeTrkDCA_T0008388608_LooSiHi1Pt05_f2dc2 closeTrkDCA_T0008388608_LooSiHi1Pt05_f2dc2/F
closeTrkDCA_T0134217728_LooSiHi1Pt05_f2dc2 closeTrkDCA_T0134217728_LooSiHi1Pt05_f2dc2/F
closeTrkDCA_alltrks closeTrkDCA_alltrks
closeTrkDOCA closeTrkDOCA/D
closeTrkDOCA_alltrks closeTrkDOCA_alltrks
closeTrkNtrksChi2 closeTrkNtrksChi2/I
closeTrkNtrksChi2_T0008388608_LooSiHi1Pt05_f2dc2 closeTrkNtrksChi2_T0008388608_LooSiHi1Pt05_f2dc2/I
closeTrkNtrksChi2_T0134217728_LooSiHi1Pt05_f2dc2 closeTrkNtrksChi2_T0134217728_LooSiHi1Pt05_f2dc2/I
closeTrkZCA closeTrkZCA/F
closeTrkZCAErr closeTrkZCAErr/F
closeTrkZCAErr_T0008388608_LooSiHi1Pt05_f2dc2 closeTrkZCAErr_T0008388608_LooSiHi1Pt05_f2dc2/F
closeTrkZCAErr_T0134217728_LooSiHi1Pt05_f2dc2 closeTrkZCAErr_T0134217728_LooSiHi1Pt05_f2dc2/F
closeTrkZCAErr_alltrks closeTrkZCAErr_alltrks
closeTrkZCA_T0008388608_LooSiHi1Pt05_f2dc2 closeTrkZCA_T0008388608_LooSiHi1Pt05_f2dc2/F
closeTrkZCA_T0134217728_LooSiHi1Pt05_f2dc2 closeTrkZCA_T0134217728_LooSiHi1Pt05_f2dc2/F
closeTrkZCA_alltrks closeTrkZCA_alltrks
d0Max d0Max/D
d0Max_err d0Max_err/D
d0Max_sig d0Max_sig/D
d0Min d0Min/D
d0Min_err d0Min_err/D
d0Min_sig d0Min_sig/D
err_bitset err_bitset/O
err_lar err_lar/O
err_muon err_muon/O
err_pixel err_pixel/O
err_sct err_sct/O
err_tile err_tile/O
err_trt err_trt/O
event_index event_index/I
event_number event_number/l
evt_wt evt_wt/F
lumi_block lumi_block/I
muM_iso_10_noChi2_LooSiHi1Pt05_T0008388608 muM_iso_10_noChi2_LooSiHi1Pt05_T0008388608/F
muM_iso_10_noChi2_LooSiHi1Pt05_T0134217728 muM_iso_10_noChi2_LooSiHi1Pt05_T0134217728/F
muM_iso_7_Chi2_5_LoosePt05 muM_iso_7_Chi2_5_LoosePt05/F
muM_iso_7_Chi2_5_medPt05 muM_iso_7_Chi2_5_medPt05/D
muM_iso_7_Chi2_5_noAbs_LooSiHi1Pt05_T0000000127 muM_iso_7_Chi2_5_noAbs_LooSiHi1Pt05_T0000000127/F
muM_iso_Ntracks_10_noChi2_LooSiHi1Pt05_T0008388608 muM_iso_Ntracks_10_noChi2_LooSiHi1Pt05_T0008388608/I
muM_iso_Ntracks_10_noChi2_LooSiHi1Pt05_T0134217728 muM_iso_Ntracks_10_noChi2_LooSiHi1Pt05_T0134217728/I
muM_iso_Ntracks_7_Chi2_5_LoosePt05 muM_iso_Ntracks_7_Chi2_5_LoosePt05/I
muM_iso_Ntracks_7_Chi2_5_medPt05 muM_iso_Ntracks_7_Chi2_5_medPt05/I
muM_iso_Ntracks_7_Chi2_5_noAbs_LooSiHi1Pt05_T0000000127 muM_iso_Ntracks_7_Chi2_5_noAbs_LooSiHi1Pt05_T0000000127/I
muP_iso_10_noChi2_LooSiHi1Pt05_T0008388608 muP_iso_10_noChi2_LooSiHi1Pt05_T0008388608/F
muP_iso_10_noChi2_LooSiHi1Pt05_T0134217728 muP_iso_10_noChi2_LooSiHi1Pt05_T0134217728/F
